127.0.0.1 - - [26/Aug/2017:11:13:21 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:13:59 +0530] "GET /ecommerce1/ HTTP/1.1" 500 34645
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:14:00 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:31 +0530] "GET /ecommerce1/ HTTP/1.1" 200 8523
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:31 +0530] "GET /ecommerce1/ HTTP/1.1" 200 8523
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:32 +0530] "GET /ecommerce1/resources/images/h1.jpg;jsessionid=BB6438235A9B6D830F734A1884C97426 HTTP/1.1" 200 134103
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:32 +0530] "GET /ecommerce1/resources/images/h1.jpg;jsessionid=490B416AC076E72B953A8514643A8162 HTTP/1.1" 200 134103
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:32 +0530] "GET /ecommerce1/resources/images/h2.jpg;jsessionid=BB6438235A9B6D830F734A1884C97426 HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:32 +0530] "GET /ecommerce1/resources/images/h3.jpg;jsessionid=BB6438235A9B6D830F734A1884C97426 HTTP/1.1" 200 34122
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:32 +0530] "GET /ecommerce1/resources/images/h2.jpg;jsessionid=490B416AC076E72B953A8514643A8162 HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:33 +0530] "GET /ecommerce1/resources/images/J7.jpg;jsessionid=BB6438235A9B6D830F734A1884C97426 HTTP/1.1" 200 30966
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:33 +0530] "GET /ecommerce1/resources/images/h3.jpg;jsessionid=490B416AC076E72B953A8514643A8162 HTTP/1.1" 200 34122
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:33 +0530] "GET /ecommerce1/resources/images/ASUS_zenfone_3_Max__L_1.jpg;jsessionid=BB6438235A9B6D830F734A1884C97426 HTTP/1.1" 200 8056
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:33 +0530] "GET /ecommerce1/resources/images/J7.jpg;jsessionid=490B416AC076E72B953A8514643A8162 HTTP/1.1" 200 30966
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:33 +0530] "GET /ecommerce1/resources/images/nokia.jpeg;jsessionid=BB6438235A9B6D830F734A1884C97426 HTTP/1.1" 200 16700
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:33 +0530] "GET /ecommerce1/resources/images/ASUS_zenfone_3_Max__L_1.jpg;jsessionid=490B416AC076E72B953A8514643A8162 HTTP/1.1" 200 8056
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:33 +0530] "GET /ecommerce1/resources/images/nokia.jpeg;jsessionid=490B416AC076E72B953A8514643A8162 HTTP/1.1" 200 16700
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:33 +0530] "GET /ecommerce1/resources/images/Xiaomi-Redmi-Note4-grey-med.jpg;jsessionid=BB6438235A9B6D830F734A1884C97426 HTTP/1.1" 200 70768
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:16:33 +0530] "GET /ecommerce1/resources/images/Xiaomi-Redmi-Note4-grey-med.jpg;jsessionid=490B416AC076E72B953A8514643A8162 HTTP/1.1" 200 70768
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:17:13 +0530] "GET /ecommerce1/ HTTP/1.1" 200 8213
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:17:13 +0530] "GET /ecommerce1/resources/images/h1.jpg HTTP/1.1" 200 134103
0:0:0:0:0:0:0:1 - - [26/Aug/2017:11:17:13 +0530] "GET /ecommerce1/resources/images/h2.jpg HTTP/1.1" 200 86596
